timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,Encoding,IdleTime,Connect
1527358040442,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-36,text,true,,307,151,1,112,,515,utf-8,0,419
1527358041912,536,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-37,text,true,,307,151,1,111,,536,utf-8,0,437
1527358043412,535,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-38,text,true,,307,151,1,111,,535,utf-8,0,432
1527358044912,539,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-39,text,true,,307,151,1,106,,539,utf-8,0,436
1527358046415,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-40,text,true,,307,151,1,104,,515,utf-8,0,417
1527358047941,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-41,text,true,,307,151,1,106,,518,utf-8,0,422
1527358049440,528,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-42,text,true,,307,151,1,109,,528,utf-8,0,429
1527358050950,512,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-43,text,true,,307,151,1,107,,512,utf-8,0,417
1527358053941,1840,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-45,text,true,,307,151,3,104,,1840,utf-8,0,1732
1527358052440,3350,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-44,text,true,,307,151,2,103,,3350,utf-8,0,3251
1527358055448,509,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-46,text,true,,307,151,1,101,,509,utf-8,0,412
1527358056911,526,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-47,text,true,,307,151,1,95,,526,utf-8,0,424
1527358058412,539,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-48,text,true,,307,151,1,95,,539,utf-8,0,437
1527358059912,517,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-49,text,true,,307,151,1,93,,517,utf-8,0,420
1527358061412,521,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-50,text,true,,307,151,1,98,,521,utf-8,0,425
1527358062941,507,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-51,text,true,,307,151,1,95,,507,utf-8,0,413
1527358064442,576,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-52,text,true,,307,151,1,95,,576,utf-8,0,474
1527358065940,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-53,text,true,,307,151,1,94,,523,utf-8,0,422
1527358067440,527,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-54,text,true,,307,151,1,94,,527,utf-8,0,429
1527358068939,510,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-55,text,true,,307,151,1,89,,510,utf-8,0,413
1527358070439,536,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-56,text,true,,307,151,1,91,,536,utf-8,0,427
1527358071913,520,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-57,text,true,,307,151,1,88,,520,utf-8,0,424
1527358073413,509,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-58,text,true,,307,151,1,89,,509,utf-8,0,412
1527358074917,530,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-59,text,true,,307,151,1,88,,530,utf-8,0,423
1527358076412,511,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-60,text,true,,307,151,1,91,,511,utf-8,0,414
1527358077940,532,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-61,text,true,,307,151,1,88,,532,utf-8,0,429
1527358079441,522,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-62,text,true,,307,151,1,89,,522,utf-8,0,425
1527358080941,517,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-63,text,true,,307,151,1,85,,517,utf-8,0,421
1527358082412,524,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-64,text,true,,307,151,1,85,,524,utf-8,0,420
1527358083918,528,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-65,text,true,,307,151,1,86,,528,utf-8,0,429
1527358085412,552,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-66,text,true,,307,151,1,87,,552,utf-8,0,448
1527358086911,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-67,text,true,,307,151,1,87,,534,utf-8,0,433
1527358088415,513,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-68,text,true,,307,151,1,84,,513,utf-8,0,417
1527358089911,509,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-69,text,true,,307,151,1,86,,509,utf-8,0,412
1527358091413,524,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-70,text,true,,307,151,1,89,,524,utf-8,0,422
1527358092942,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-71,text,true,,307,151,1,89,,525,utf-8,0,429
1527358094440,538,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-72,text,true,,307,151,1,87,,538,utf-8,0,430
1527358095940,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-73,text,true,,307,151,1,87,,519,utf-8,0,419
1527358097411,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-74,text,true,,307,151,1,85,,534,utf-8,0,431
1527358098913,532,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-75,text,true,,307,151,1,83,,532,utf-8,0,435
1527358100382,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-76,text,true,,307,151,1,88,,515,utf-8,0,416
1527358101911,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-77,text,true,,307,151,1,90,,525,utf-8,0,427
1527358103401,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-78,text,true,,307,151,1,90,,515,utf-8,0,418
1527358104917,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-79,text,true,,307,151,1,88,,525,utf-8,0,428
1527358106414,514,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-80,text,true,,307,151,1,86,,514,utf-8,0,414
1527358107945,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-81,text,true,,307,151,1,87,,525,utf-8,0,429
1527358109440,539,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-82,text,true,,307,151,1,90,,539,utf-8,0,437
1527358110946,532,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-83,text,true,,307,151,1,91,,532,utf-8,0,431
1527358112414,529,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-84,text,true,,307,151,1,91,,529,utf-8,0,432
1527358113912,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-85,text,true,,307,151,1,91,,519,utf-8,0,424
